Прайс-лист на 7 февраля 2025 г.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Номенклатура;;;;;;;;;;;;ХРК;ХРК ЕК;
;;;;;;;;;;;;руб;руб;
;;;;;;;;;;;;Включает НДС;Включает НДС;
;;;;;;;;;;;;Цена;Цена;
Продукция;;;;;;;;;;;;;;
HoReCa минус;;;;;;;;;;;;;;
Картофель фри 7*7 2,5кг/5шт Турция (шт);;;;;;;;;;;;796,88;;
Картофель фри 9*9 мм 2,5кг/6шт Турция (ЕК,НТ,СРГ,ПМ,ТМ-шт);;;;;;;;;;;;737,50;;
Картофельные дольки в кожуре со специями 2,5кг/5шт FARM FRITES (шт);;;;;;;;;;;;993,75;;
Картофельные дольки в кожуре со специями Фрай Ми 2,5кг/5шт (ЕК,НТ,СРГ,ПМ,ТМ-шт);;;;;;;;;;;;906,25;;
Картофельные чипсы рифленые SuperFresh 1кг/10шт Турция (ЕК,НТ,СРГ,ПМ,ТМ-шт);;;;;;;;;;;;431,25;;
Луковые кольца в панировке 1,5кг/6шт Турция (шт);;;;;;;;;;;;571,88;;
Чай;;;;;;;;;;;;;;
"Ягодный чай ""Апельсин с ягодами облепихи"" 50г/30шт";;;;;;;;;;;;93,00;;
"Ягодный чай ""Клюквенный пунш с кусочками апельсина"" 50г/30шт";;;;;;;;;;;;93,00;;
"Ягодный чай ""Малина с брусникой и чабрецом"" 50г/30шт";;;;;;;;;;;;93,00;;
HoReCa плюс;;;;;;;;;;;;;;
DINNER SERVICE;;;;;;;;;;;;;;
Бульон говяжий 2кг/4шт DINNER SERVICE Россия шт Новый;;;;;;;;;;;;740,85;;
Бульон грибной 2кг/4шт DINNER SERVICE Россия (шт);;;;;;;;;;;;901,50;;
Бульон куриный 2кг/4шт DINNER SERVICE Россия шт Новый;;;;;;;;;;;;709,80;;
Бульон овощной 2кг/4шт DINNER SERVICE Россия (шт);;;;;;;;;;;;927,15;;
Бульон рыбный 1,5кг/4шт DINNER SERVICE Россия (шт);;;;;;;;;;;;1 075,13;;
Крахмал кукурузный 1.25кг/4шт DINNER SERVICE Россия (шт);;;;;;;;;;;;642,19;;
Приправа Деликат VEGETTA 2кг/4шт DINNER SERVICE Россия (шт);;;;;;;;;;;;720,00;;
Соус Деми Гласс 1,5кг/4шт DINNER SERVICE Россия (шт);;;;;;;;;;;;1 771,88;;
Бакалея;;;;;;;;;;;;;;
**Булгур Националь 450г/6шт (шт);;;;;;;;;;;;133,42;;
**Киноа Националь 450г/6шт (шт);;;;;;;;;;;;332,88;;
**Кус-кус Националь 450г/6шт (шт);;;;;;;;;;;;162,49;;
"**Печенье Савоярди ""Forno Bonomi"" 400г/уп 15шт/кор Италия (шт)";;;;;;;;;;;;403,31;;
"**Сахар трост. коричневый Демерара ""Интегрита"" 0,5кг/10шт Россия (кор)";;;;;;;;;;;;156,92;;
**Соль морская крупная 1 кг/15шт (шт);;;;;;;;;;;;109,27;;
Геркулес 5кг/уп(кор);;;;;;;;;;;;250,60;;
Дрожжи инстантные Воронежские 500г/20шт (шт);;;;;;;;;;;;190,26;;
Крупа гречневая  5кг/уп (кор);;;;;;;;;;;;283,50;;
Крупа манная 5кг/уп(кор);;;;;;;;;;;;308,70;;
"Мед натуральный ""Мёд маркет"" 1кг/8шт (шт)";;;;;;;;;;;;256,92;;
"Мед натуральный ""Пчелка Золотая"", ""Медовая страна"" 1кг/8шт (шт)";;;;;;;;;;;;277,62;;
"Мука в/с ""Беляевская"" Алтай 10кг/5шт (шт)";;;;;;;;;;;;519,10;;
"Мука для пиццы  25кг/уп ""Супер Мука"" Россия";;;;;;;;;;;;2 808,55;;
Мука Макфа 2кг/6шт Россия (кор);;;;;;;;;;;;144,31;;
Мука Царь 2кг/6шт (шт);;;;;;;;;;;;101,70;;
Рис длин.пропаренный 5 кг/уп (кор);;;;;;;;;;;;786,10;;
Рис круглый шлиф.5кг/уп(кор);;;;;;;;;;;;612,50;;
Рис МИСТРАЛЬ Жасмин 500г/12шт Россия (шт);;;;;;;;;;;;208,00;;
Сахар порционный 5г/2000 шт (кор);;;;;;;;;;;;1,05;;
